C1,C2,O,H1,H2,H3,H4,H5,H6
[ 0.68167822  0.06865454 -0.23191229],[-0.82955582  0.40744761  0.67056184],[-0.6762288   1.10037416  0.00215945],[-0.41355962  0.40793769 -0.90862359],[-0.00516046 -0.06581294 -0.15318278],[0.12266468 0.17969225 0.38979651],[-0.18266269 -0.93037416 -1.08470924],[ 1.24056161 -0.75062439  1.15916539],[-0.0054965  -0.39636705  0.0998898 ]
[-0.87875129  1.17515159  1.17680014],[ 0.95904908 -0.21160425  0.29805705],[-1.37590802  1.67059352  0.59127895],[-0.62821372 -0.03647102 -0.66576908],[ 1.66790119 -1.05711208 -0.97284964],[ 0.13087209 -0.07621809  0.47969498],[-0.21975098 -1.02335666 -0.75064931],[ 0.14218665  0.08659759 -0.17317231],[ 0.17211377 -0.41893107 -0.02486919]
[-0.00943115 -0.06814758 -1.08465333],[ 0.23445327 -2.7871222  -0.34841508],[-1.05893184  1.77235432  0.48578541],[ 0.41120825 -0.16500002  0.02585803],[-0.53192746  0.37396325  0.29259372],[0.44938578 0.45329371 0.38532939],[0.50555156 0.63899712 0.30819908],[-0.07617833  0.38693573 -0.20134979],[ 0.0516159  -0.53084429  0.11244994]
[-0.39764448  1.17856894 -0.79118672],[-0.65582195 -1.81242548  2.10835364],[-0.32765408  1.73037894 -0.1796281 ],[ 0.02926304 -0.1865554  -0.34223924],[ 0.95420458 -0.27632658 -0.61524329],[0.50363513 0.26160127 0.5418234 ],[ 0.15812276 -0.24619288 -0.54613586],[-0.05515594  0.27084451 -0.58558177],[-0.25745758 -0.91949193  0.35287301]
[-0.43427105  1.04671009 -0.48022427],[-1.80554517 -1.1717334  -0.42510686],[ 0.00206478  1.73193248 -0.01044336],[-0.41379935  0.22029977 -0.10947748],[ 1.3111449  -0.80009305 -0.50355256],[0.21338492 0.30477817 0.29143151],[ 0.58813043  0.11155053 -0.1651792 ],[ 0.69693062 -0.47219206  0.90553919],[-0.23400391 -0.9611361   0.43423065]
[0.65549915 1.44060581 0.18421723],[-1.18084845  1.10797023  0.38975423],[-0.241491    1.36443458 -0.01402504],[-0.04423305 -0.2026481  -0.23063444],[ 0.15226875 -0.10850702 -0.27394635],[-0.13698938 -0.58212905 -0.20752557],[-0.40798055 -1.43527063 -1.31438858],[ 1.28161792 -0.8513581   1.21578337],[-0.13843413 -0.70487172  0.20825724]
[-0.84119051  1.63033769 -1.78860241],[ 0.49329572 -0.79470896  1.77730967],[-0.04193728  1.90064516 -0.67045852],[ 0.60455043 -0.21568312  0.87585032],[ 0.83843526 -0.57809901 -0.31142807],[0.05047958 0.19441003 0.14941162],[-0.22703702 -0.69421885 -0.60129314],[-0.19628501 -0.13502994 -0.27805514],[-0.6639682  -1.29854344  0.81173595]
[-0.10748829 -0.24461644 -1.26509849],[0.76538465 0.30711874 2.0279172 ],[-0.63835714  0.30546682  0.55344515],[-0.22269208 -0.08891928 -0.0923735 ],[ 0.1690803  -0.18470284 -0.00342305],[0.4795108  0.83761376 0.92786924],[-0.11236731 -1.31703206 -0.9851549 ],[-0.7229527   0.25044751 -0.89610112],[ 0.3170154   0.19905553 -0.28188495]
[-1.19464593 -1.49182405 -0.66956983],[-0.41399083  0.54156818 -0.42960738],[-1.25050301  0.29397958  0.59071175],[-0.56172001  0.52289343 -0.84974961],[ 1.16567761 -0.73090679 -0.73376154],[0.89689553 2.03493488 1.73474692],[-0.24933212 -0.63727918 -0.74530531],[ 1.27422531 -0.81367772  1.2898282 ],[ 0.30578188  0.30600515 -0.30816505]
[-1.73542796  1.33587864 -0.89590619],[ 0.61978915 -1.21497578  1.679684  ],[-1.34974123  1.29202424  0.52880843],[ 0.51595443 -0.50981441  0.92918931],[ 1.37901724 -0.99242166 -0.74942641],[0.14257517 0.49918978 0.39829852],[ 0.14536951 -0.51003718 -0.58711398],[-0.12613058  0.1923884  -0.99738662],[ 0.44349554 -0.07507724 -0.35414298]
[ 1.19975693  0.7340663  -0.18358552],[-0.37435765 -0.09844158  0.15589075],[-1.34380278  0.55139305  0.87428977],[-0.64745829  0.34538257 -0.74473692],[ 0.27104509 -0.30591649 -0.19825021],[-0.09198344 -0.05620374  0.20767555],[-0.09612371 -0.83262867 -0.86930002],[ 0.82026031 -0.56234072  0.88328364],[ 0.16122426  0.23777391 -0.16123977]
[-0.56223675  1.39474821  0.9201489 ],[ 1.243721   -0.6737376   0.02244619],[-1.75576827  1.4275373   0.92553125],[-0.38877628 -0.2879715  -0.36705777],[ 1.17389545 -0.74639702 -0.72156288],[-0.00271974 -0.43937221  0.29840681],[-0.10678386 -0.71389525 -0.40871255],[-0.10018085  0.2558816  -0.41003028],[ 0.45015527 -0.1095334  -0.2939226 ]
[1.73271763 0.38430486 1.47838825],[-0.38042912  0.7664174   0.56555249],[-0.92293644  0.00865674  0.76164162],[-1.47227463  0.88582293 -1.80691082],[ 0.43971705 -0.28039797 -0.23443696],[-0.12701214 -0.53025705 -0.05536278],[-0.17617266 -1.1478908  -0.91438833],[ 0.48197472 -0.48936871  0.49375175],[ 0.36564237  0.44531838 -0.3302147 ]
[ 0.76233379  0.38339347 -0.45991921],[-0.68525101 -0.04880054  0.82251689],[-0.90312181  0.70725183  0.23538064],[-0.05903763  0.24289317 -0.65282098],[-0.37211155  0.12483419  0.01114562],[-0.00504765 -0.16689558  0.14686006],[-0.04368095 -0.60370979 -0.87977985],[ 1.00876686 -0.59368661  0.87664166],[ 0.23518265 -0.02003295 -0.173061  ]
[-0.02421148  0.23047374 -1.09583005],[ 0.51489512 -3.28664627 -0.46458081],[-1.39878128  1.50025242  0.86819   ],[ 0.71254472 -0.32108657  0.24475634],[-0.81737843  0.5550823   0.44931756],[0.36666098 0.11374668 0.06761359],[0.60266683 0.87258764 0.50717592],[-0.31291866  0.6073499  -0.40236313],[ 0.33428948 -0.18359471 -0.20836112]
[-0.13042009  1.29356861 -0.84476243],[-1.70397009 -1.67234982 -0.36255226],[-0.28408127  1.3117351   0.36543898],[-0.20469303  0.06405098  0.20090401],[ 0.9095446  -0.56759842 -0.20541431],[ 0.08710355 -0.01676452  0.03904699],[0.76671821 0.37165064 0.01799585],[ 0.37103471 -0.25049     0.64150613],[ 0.11672515 -0.55372019  0.07746122]
